title_clean,title_display,primary_category,postings,total_vacancies,median_salary,avg_applications,avg_views,salary_score,demand_score,vacancy_score,competition_score,opportunity_score
(b) lorry driver (class 4 license) up to $4000,(B) Lorry Driver (Class 4 License) Up To $4000,Logistics / Supply Chain,26,26,3750.0,0.3076923076923077,8.76923076923077,0.12790697674418605,0.04810573415196024,0.03316881222997144,0.9285848312697,25.4
(b) nurse assistant,(B) Nurse Assistant,Healthcare / Pharmaceutical,33,66,3000.0,0.36363636363636365,8.666666666666666,0.09302325581395349,0.09223177145421484,0.1531208023899448,0.9174329479759096,26.7
(j) business development manager (contract),(J) Business Development Manager (Contract),Customer Service,20,20,5750.0,0.6,3.0,0.22093023255813954,0.0,0.0,0.8748792601179392,26.3
(j) class 4 driver (gross up3.5k / 5 days),(J) Class 4 Driver (Gross Up3.5K / 5 Days),General Work,26,26,3250.0,0.0,2.3076923076923075,0.10465116279069768,0.04810573415196024,0.03316881222997144,1.0,25.9
(j) delivery assistant,(J) Delivery Assistant,General Work,23,23,2850.0,0.17391304347826086,4.0,0.08604651162790698,0.025560114946350486,0.0176236506557387,0.9573148168148132,23.5
(j) head carpenter,(J) Head Carpenter,Building and Construction,35,35,3750.0,0.0,3.657142857142857,0.12790697674418605,0.10317283631682937,0.07113747446856176,1.0,28.8
(j) lift supervisor (maintenance),(J) Lift Supervisor (Maintenance),Building and Construction,22,22,3000.0,0.09090909090909091,1.5,0.09302325581395349,0.017413501515337666,0.012006576184952003,0.9768365025509042,23.9
(j) logistics cum warehouse assistant,(J) Logistics Cum Warehouse Assistant,Admin / Secretarial,25,25,2300.0,1.08,18.24,0.06046511627906977,0.040881611775980604,0.028187793587614026,0.80503466989325,20.0
(j) planner (manufacturing),(J) Planner (Manufacturing),Admin / Secretarial,25,25,2500.0,0.12,2.68,0.06976744186046512,0.040881611775980604,0.028187793587614026,0.9698305117808788,23.6
(j) plastic molding injection program engineer (manufacturing),(J) Plastic Molding Injection Program Engineer (Manufacturing),Engineering,24,24,3250.0,0.08333333333333333,11.166666666666666,0.10465116279069768,0.033374119217323556,0.02301139174309802,0.9786916479297223,24.9
(j) plastic molding injection program manager - (molding / manufacturing),(J) Plastic Molding Injection Program Manager - (Molding / Manufacturing),Engineering,26,26,4000.0,0.2692307692307692,7.038461538461538,0.13953488372093023,0.04810573415196024,0.03316881222997144,0.9365320567899675,26.0
(j) quality engineer (npi),(J) Quality Engineer (Npi),Engineering,22,22,3200.0,0.045454545454545456,2.6363636363636362,0.10232558139534884,0.017413501515337666,0.012006576184952003,0.9881663947343341,24.5
(j) regional sales manager,(J) Regional Sales Manager,Engineering,33,33,5100.0,3.6666666666666665,19.272727272727273,0.19069767441860466,0.09223177145421484,0.06359363104903021,0.5899146064461852,22.7
(j) sales support / coordinator (manufacturing),(J) Sales Support / Coordinator (Manufacturing),Admin / Secretarial,24,24,3500.0,0.4583333333333333,4.375,0.11627906976744186,0.033374119217323556,0.02301139174309802,0.8995596407853013,23.8
(j) warehouse supervisor - [manufacturing goods],(J) Warehouse Supervisor - [Manufacturing Goods],General Management,22,22,3000.0,0.18181818181818182,2.909090909090909,0.09302325581395349,0.017413501515337666,0.012006576184952003,0.9555281504806264,23.4
(jc) (soldering & tuning) testing technician - electronic manufacturing,(Jc) (Soldering & Tuning) Testing Technician - Electronic Manufacturing,General Work,22,44,2600.0,0.09090909090909091,2.4545454545454546,0.07441860465116279,0.017413501515337666,0.10058825691865299,0.9768365025509042,24.5
(jc) accounts assistant (tuas),(Jc) Accounts Assistant (Tuas),Accounting / Auditing / Taxation,23,23,2125.0,0.34782608695652173,8.91304347826087,0.05232558139534884,0.025560114946350486,0.0176236506557387,0.9205374995983127,21.4
(jc) accounts executive (ar),(Jc) Accounts Executive (Ar),Accounting / Auditing / Taxation,58,58,3150.0,0.25862068965517243,7.293103448275862,0.1,0.1977361411452503,0.13633869334595072,0.9387668005284652,29.8
(jc) accounts executive (ar) - $3300,(Jc) Accounts Executive (Ar) - $3300,Accounting / Auditing / Taxation,26,26,3150.0,0.3076923076923077,13.384615384615385,0.1,0.04810573415196024,0.03316881222997144,0.9285848312697,24.3
(jc) assistant merchandising manager - $5000,(Jc) Assistant Merchandising Manager - $5000,Sales / Retail,24,24,4750.0,0.3333333333333333,7.375,0.1744186046511628,0.033374119217323556,0.02301139174309802,0.9234154982723508,26.6
(jc) channel marketing assistant manager,(Jc) Channel Marketing Assistant Manager,Marketing / Public Relations,23,23,3900.0,0.043478260869565216,2.739130434782609,0.13488372093023257,0.025560114946350486,0.0176236506557387,0.98867010781657,26.1
(jc) class 3 driver changi - $2400,(Jc) Class 3 Driver Changi - $2400,General Work,27,27,2300.0,0.14814814814814814,10.444444444444445,0.06046511627906977,0.055067102164869125,0.03796866223859032,0.9632226827834993,23.6
(jc) class 4 driver (gross up3.5k / 5 days),(Jc) Class 4 Driver (Gross Up3.5K / 5 Days),General Work,26,26,3250.0,0.0,3.9615384615384617,0.10465116279069768,0.04810573415196024,0.03316881222997144,1.0,25.9
(jc) class 4 driver changi - $2400,(Jc) Class 4 Driver Changi - $2400,General Work,27,27,2300.0,0.0,8.37037037037037,0.06046511627906977,0.055067102164869125,0.03796866223859032,1.0,24.4
(jc) delivery assistant,(Jc) Delivery Assistant,General Work,35,35,2850.0,0.05714285714285714,3.8285714285714287,0.08604651162790698,0.10317283631682937,0.07113747446856176,0.9852066229727119,26.8
(jc) delivery assistant - $2600,(Jc) Delivery Assistant - $2600,General Work,48,48,2850.0,0.08333333333333333,7.875,0.08604651162790698,0.16218681075386673,0.11182749763426507,0.9786916479297223,28.7
(jc) dishwasher,(Jc) Dishwasher,F&B,69,69,1800.0,0.0,6.927536231884058,0.037209302325581395,0.23046028852094333,0.15890193074009504,1.0,29.6
(jc) ecommerce manager,(Jc) Ecommerce Manager,Customer Service,21,21,4750.0,0.09523809523809523,2.5238095238095237,0.1744186046511628,0.008904699663227511,0.006139773486480463,0.9757821950954849,26.8
(jc) head carpenter,(Jc) Head Carpenter,Building and Construction,20,20,3750.0,0.0,0.85,0.12790697674418605,0.0,0.0,1.0,25.1
(jc) kitchen and sushi helper,(Jc) Kitchen And Sushi Helper,General Work,26,26,2375.0,0.038461538461538464,2.1153846153846154,0.06395348837209303,0.04810573415196024,0.03316881222997144,0.9899530610685209,24.1
(jc) kitchen helper (japanese restaurant),(Jc) Kitchen Helper (Japanese Restaurant),General Work,79,79,2200.0,0.0,6.10126582278481,0.05581395348837209,0.25602040346729366,0.17652558139583363,1.0,31.3
(jc) lift technician (maintenance),(Jc) Lift Technician (Maintenance),Engineering,56,56,2850.0,0.16071428571428573,7.160714285714286,0.08604651162790698,0.19113491721495113,0.13178716199751656,0.9603248979944321,29.4
(jc) lorry class 4 driver - $3500,(Jc) Lorry Class 4 Driver - $3500,General Work,21,21,3250.0,0.0,7.0476190476190474,0.10465116279069768,0.008904699663227511,0.006139773486480463,1.0,24.5
(jc) mechanic (motorcycle),(Jc) Mechanic (Motorcycle),General Work,27,27,2250.0,0.0,2.2222222222222223,0.05813953488372093,0.055067102164869125,0.03796866223859032,1.0,24.3
(jc) mechanical design engineer - $2800,(Jc) Mechanical Design Engineer - $2800,Design,21,21,2900.0,0.23809523809523808,11.380952380952381,0.08837209302325581,0.008904699663227511,0.006139773486480463,0.9431439508417773,22.7
(jc) motorcycle mechanic,(Jc) Motorcycle Mechanic,General Work,21,21,2250.0,0.0,5.380952380952381,0.05813953488372093,0.008904699663227511,0.006139773486480463,1.0,22.6
